Checkcase, Propagation, Mean Position Error, Std Dev Position Error, Max Position Error, Min Position Error, Mean Velocity Error, Std Dev Velocity Error, Max Velocity Error, Min Velocity Error
Checkcase 2, Cowells_Method, 901.093 m, 655.72 m, 2110.89 m, 2.514e-09 m, 102.837 cm/s, 73.7641 cm/s, 218.886 cm/s, 1.94453e-10 cm/s
Checkcase 2, Keplerian_VOP, 901.093 m, 655.72 m, 2110.89 m, 2.514e-09 m, 102.837 cm/s, 73.7641 cm/s, 218.886 cm/s, 1.94453e-10 cm/s
Checkcase 2, Equinoctial_VOP, 912.918 m, 668.701 m, 2222.95 m, 2.72848e-09 m, 104.354 cm/s, 74.7598 cm/s, 226.561 cm/s, 4.0817e-10 cm/s
Checkcase 3, Cowells_Method, 902.071 m, 656.256 m, 2112.55 m, 1.36897e-09 m, 102.948 cm/s, 73.8258 cm/s, 219.074 cm/s, 1.22699e-10 cm/s
Checkcase 3, Keplerian_VOP, 902.071 m, 656.256 m, 2112.55 m, 1.36897e-09 m, 102.948 cm/s, 73.8258 cm/s, 219.074 cm/s, 1.22699e-10 cm/s
Checkcase 3, Equinoctial_VOP, 913.925 m, 669.193 m, 2224.6 m, 2.44889e-09 m, 104.47 cm/s, 74.814 cm/s, 226.748 cm/s, 2.71753e-10 cm/s
Checkcase 4, Cowells_Method, 901.126 m, 655.793 m, 2111.08 m, 1.36897e-09 m, 102.841 cm/s, 73.7723 cm/s, 218.906 cm/s, 1.22699e-10 cm/s
Checkcase 4, Keplerian_VOP, 901.126 m, 655.793 m, 2111.08 m, 1.36897e-09 m, 102.841 cm/s, 73.7723 cm/s, 218.906 cm/s, 1.22699e-10 cm/s
Checkcase 4, Equinoctial_VOP, 912.951 m, 668.774 m, 2223.13 m, 2.44889e-09 m, 104.358 cm/s, 74.7681 cm/s, 226.581 cm/s, 2.71753e-10 cm/s
Checkcase 1, Cowells_Method, 897.525 m, 653.399 m, 2103.91 m, 1.42072e-08 m, 102.433 cm/s, 73.4989 cm/s, 218.118 cm/s, 1.06594e-09 cm/s
Checkcase 1, Keplerian_VOP, 897.525 m, 653.399 m, 2103.91 m, 1.42072e-08 m, 102.433 cm/s, 73.4989 cm/s, 218.118 cm/s, 1.06594e-09 cm/s
Checkcase 1, Equinoctial_VOP, 909.349 m, 666.41 m, 2216 m, 1.46104e-08 m, 103.949 cm/s, 74.4962 cm/s, 225.796 cm/s, 1.1128e-09 cm/s
