Checkcase, Propagation, Mean Position Error, Std Dev Position Error, Max Position Error, Min Position Error, Mean Velocity Error, Std Dev Velocity Error, Max Velocity Error, Min Velocity Error
Checkcase 2, Cowells_Method, 2.51039 m, 1.56395 m, 5.87112 m, 2.16005e-09 m, 0.282163 cm/s, 0.168945 cm/s, 0.667695 cm/s, 3.58907e-10 cm/s
Checkcase 2, Keplerian_VOP, 2.51039 m, 1.56394 m, 5.87111 m, 2.16005e-09 m, 0.282162 cm/s, 0.168944 cm/s, 0.667695 cm/s, 3.58907e-10 cm/s
Checkcase 2, Equinoctial_VOP, 2.51099 m, 1.56497 m, 5.87928 m, 2.44889e-09 m, 0.282241 cm/s, 0.169044 cm/s, 0.667911 cm/s, 3.39663e-10 cm/s
Checkcase 4, Cowells_Method, 2.51003 m, 1.56377 m, 5.87056 m, 2.23937e-09 m, 0.282121 cm/s, 0.168925 cm/s, 0.667628 cm/s, 2.62154e-10 cm/s
Checkcase 4, Keplerian_VOP, 2.51003 m, 1.56377 m, 5.87055 m, 2.23937e-09 m, 0.28212 cm/s, 0.168925 cm/s, 0.667627 cm/s, 2.62154e-10 cm/s
Checkcase 4, Equinoctial_VOP, 2.51063 m, 1.5648 m, 5.87872 m, 2.82392e-09 m, 0.282199 cm/s, 0.169024 cm/s, 0.667843 cm/s, 2.47508e-10 cm/s
Checkcase 3, Cowells_Method, 2.51003 m, 1.56377 m, 5.87057 m, 2.23937e-09 m, 0.282121 cm/s, 0.168925 cm/s, 0.667629 cm/s, 2.62154e-10 cm/s
Checkcase 3, Keplerian_VOP, 2.51003 m, 1.56377 m, 5.87057 m, 2.23937e-09 m, 0.282121 cm/s, 0.168925 cm/s, 0.667628 cm/s, 2.62154e-10 cm/s
Checkcase 3, Equinoctial_VOP, 2.51063 m, 1.5648 m, 5.87873 m, 2.82392e-09 m, 0.2822 cm/s, 0.169024 cm/s, 0.667844 cm/s, 2.47508e-10 cm/s
Checkcase 1, Cowells_Method, 2.51003 m, 1.56377 m, 5.87057 m, 1.38399e-08 m, 0.282121 cm/s, 0.168925 cm/s, 0.667628 cm/s, 1.72605e-08 cm/s
Checkcase 1, Keplerian_VOP, 2.51003 m, 1.56377 m, 5.87056 m, 1.38399e-08 m, 0.282121 cm/s, 0.168925 cm/s, 0.667628 cm/s, 1.72605e-08 cm/s
Checkcase 1, Equinoctial_VOP, 2.51063 m, 1.5648 m, 5.87873 m, 1.32858e-08 m, 0.2822 cm/s, 0.169024 cm/s, 0.667844 cm/s, 1.72498e-08 cm/s
